"pkdCode","class"
1813,"Działalność usługowa związana z przygotowywaniem do druku"
1511,"Wyprawa skór, garbowanie; wyprawa i barwienie skór futerkowych"
4519,"Sprzedaż hurtowa i detaliczna pozostałych pojazdów samochodowych, z wyłączeniem motocykli"
240,"Działalność usługowa związana z leśnictwem"
4771,"Sprzedaż detaliczna odzieży prowadzona w wyspecjalizowanych sklepach"
4762,"Sprzedaż detaliczna gazet i artykułów piśmiennych prowadzona w wyspecjalizowanych sklepach"
2341,"Produkcja ceramicznych wyrobów stołowych i ozdobnych"
3230,"Produkcja sprzętu sportowego"
8710,"Pomoc społeczna z zakwaterowaniem zapewniająca opiekę pielęgniarską"
9810,"Gospodarstwa domowe produkujące wyroby na własne potrzeby"
9492,"Działalność organizacji politycznych"
7010,"Działalność firm centralnych (head offices) i holdingów, z wyłączeniem holdingów finansowych"
8520,"Szkoły podstawowe"
2931,"Produkcja wyposażenia elektrycznego i elektronicznego do pojazdów silnikowych"
6110,"Działalność w zakresie telekomunikacji przewodowej"
1086,"Produkcja artykułów spożywczych homogenizowanych i żywności dietetycznej"
4764,"Sprzedaż detaliczna sprzętu sportowego prowadzona w wyspecjalizowanych sklepach"
2342,"Produkcja ceramicznych wyrobów sanitarnych"
2410,"Produkcja surówki, żelazostopów, żeliwa i stali oraz wyrobów hutniczych"
8610,"Działalność szpitali"
5590,"Pozostałe zakwaterowanie"
6820,"Wynajem i zarządzanie nieruchomościami własnymi lub dzierżawionymi"
6622,"Działalność agentów i brokerów ubezpieczeniowych"
3514,"Handel energią elektryczną"
2573,"Produkcja narzędzi"
4676,"Sprzedaż hurtowa pozostałych półproduktów"
2591,"Produkcja pojemników metalowych"
2640,"Produkcja elektronicznego sprzętu powszechnego użytku"
2829,"Produkcja pozostałych maszyn ogólnego przeznaczenia, gdzie indziej niesklasyfikowana"
2790,"Produkcja pozostałego sprzętu elektrycznego"
4722,"Sprzedaż detaliczna mięsa i wyrobów z mięsa prowadzona w wyspecjalizowanych sklepach"
2332,"Produkcja cegieł, dachówek i materiałów budowlanych, z wypalanej gliny"
6419,"Pozostałe pośrednictwo pieniężne"
1512,"Produkcja toreb bagażowych, toreb ręcznych i podobnych wyrobów kaletniczych; produkcja wyrobów rymarskich"
2830,"Produkcja maszyn dla rolnictwa i leśnictwa"
8424,"Bezpieczeństwo państwa, porządek i bezpieczeństwo publiczne"
9311,"Działalność obiektów sportowych"
4649,"Sprzedaż hurtowa pozostałych artykułów użytku domowego"
7729,"Wypożyczanie i dzierżawa pozostałych artykułów użytku osobistego i domowego"
3212,"Produkcja wyrobów jubilerskich i podobnych"
1711,"Produkcja masy włóknistej"
141,"Chów i hodowla bydła mlecznego"
7712,"Wynajem i dzierżawa pozostałych pojazdów samochodowych, z wyłączeniem motocykli"
6810,"Kupno i sprzedaż nieruchomości na własny rachunek"
9512,"Naprawa i konserwacja sprzętu (tele)komunikacyjnego"
1052,"Produkcja lodów"
8020,"Działalność ochroniarska w zakresie obsługi systemów bezpieczeństwa"
3030,"Produkcja statków powietrznych, statków kosmicznych i podobnych maszyn"
8552,"Pozaszkolne formy edukacji artystycznej"
8130,"Działalność usługowa związana z zagospodarowaniem terenów zieleni"
1084,"Produkcja przypraw"
1105,"Produkcja piwa"
8292,"Działalność związana z pakowaniem"
7739,"Wynajem i dzierżawa pozostałych maszyn, urządzeń oraz dóbr materialnych, gdzie indziej niesklasyfikowane"
4321,"Wykonywanie instalacji elektrycznych"
5819,"Pozostała działalność wydawnicza"
4633,"Sprzedaż hurtowa mleka, wyrobów mleczarskich, jaj, olejów i tłuszczów jadalnych"
161,"Działalność usługowa wspomagająca produkcję roślinną"
8551,"Pozaszkolne formy edukacji sportowej oraz zajęć sportowych i rekreacyjnych"
4651,"Sprzedaż hurtowa komputerów, urządzeń peryferyjnych i oprogramowania"
9329,"Pozostała działalność rozrywkowa i rekreacyjna"
2711,"Produkcja elektrycznych silników, prądnic i transformatorów"
126,"Uprawa drzew oleistych"
3012,"Produkcja łodzi wycieczkowych i sportowych"
2391,"Produkcja wyrobów ściernych"
2441,"Produkcja metali szlachetnych"
2011,"Produkcja gazów technicznych"
3040,"Produkcja wojskowych pojazdów bojowych"
9523,"Naprawa obuwia i wyrobów skórzanych"
2363,"Produkcja masy betonowej prefabrykowanej"
9412,"Działalność organizacji profesjonalnych"
3240,"Produkcja gier i zabawek"
9603,"Pogrzeby i działalność pokrewna"
5122,"Transport kosmiczny"
9002,"Działalność wspomagająca wystawianie przedstawień artystycznych"
9522,"Naprawa i konserwacja urządzeń gospodarstwa domowego oraz sprzętu użytku domowego i ogrodniczego"
9820,"Gospodarstwa domowe świadczące usługi na własne potrzeby"
2016,"Produkcja tworzyw sztucznych w formach podstawowych"
8121,"Niespecjalistyczne sprzątanie budynków i obiektów przemysłowych"
220,"Pozyskiwanie drewna"
9319,"Pozostała działalność związana ze sportem"
5224,"Przeładunek towarów"
4932,"Działalność taksówek osobowych"
2732,"Produkcja pozostałych elektronicznych i elektrycznych przewodów i kabli"
5621,"Przygotowywanie i dostarczanie żywności dla odbiorców zewnętrznych (katering)"
3511,"Wytwarzanie energii elektrycznej"
4334,"Malowanie i szklenie"
8891,"Opieka dzienna nad dziećmi"
8899,"Pozostała pomoc społeczna bez zakwaterowania, gdzie indziej niesklasyfikowana"
1820,"Reprodukcja zapisanych nośników informacji"
4635,"Sprzedaż hurtowa wyrobów tytoniowych"
4645,"Sprzedaż hurtowa perfum i kosmetyków"
2311,"Produkcja szkła płaskiego"
5911,"Działalność związana z produkcją filmów, nagrań wideo i programów telewizyjnych"
142,"Chów i hodowla pozostałego bydła i bawołów"
1814,"Introligatorstwo i podobne usługi"
4939,"Pozostały transport lądowy pasażerski, gdzie indziej niesklasyfikowany"
2592,"Produkcja opakowań z metali "
2571,"Produkcja wyrobów nożowniczych i sztućców"
8510,"Placówki wychowania przedszkolnego"
3521,"Wytwarzanie paliw gazowych"
4632,"Sprzedaż hurtowa mięsa i wyrobów z mięsa"
8621,"Praktyka lekarska ogólna"
4647,"Sprzedaż hurtowa mebli, dywanów i sprzętu oświetleniowego"
2849,"Produkcja pozostałych narzędzi mechanicznych"
1039,"Pozostałe przetwarzanie i konserwowanie owoców i warzyw"
5811,"Wydawanie książek"
6831,"Pośrednictwo w obrocie nieruchomościami"
9001,"Działalność związana z wystawianiem przedstawień artystycznych"
1092,"Produkcja gotowej karmy dla zwierząt domowych"
812,"Wydobywanie żwiru i piasku; wydobywanie gliny i kaolinu"
4639,"Sprzedaż hurtowa niewyspecjalizowana żywności, napojów i wyrobów tytoniowych"
164,"Obróbka nasion dla celów rozmnażania roślin"
2452,"Odlewnictwo staliwa"
2594,"Produkcja złączy i śrub"
5912,"Działalność postprodukcyjna związana z filmami, nagraniami wideo i programami telewizyjnymi"
1102,"Produkcja win gronowych"
2042,"Produkcja wyrobów kosmetycznych i toaletowych"
710,"Górnictwo rud żelaza"
4637,"Sprzedaż hurtowa herbaty, kawy, kakao i przypraw"
5913,"Działalność związana z dystrybucją filmów, nagrań wideo i programów telewizyjnych"
2893,"Produkcja maszyn stosowanych w przetwórstwie żywności, tytoniu i produkcji napojów"
1395,"Produkcja włóknin i wyrobów wykonanych z włóknin, z wyłączeniem odzieży"
4332,"Zakładanie stolarki budowlanej"
123,"Uprawa drzew i krzewów owocowych cytrusowych"
2572,"Produkcja zamków i zawiasów"
1396,"Produkcja pozostałych technicznych i przemysłowych wyrobów tekstylnych"
2223,"Produkcja wyrobów dla budownictwa z tworzyw sztucznych"
4614,"Działalność agentów zajmujących się sprzedażą maszyn, urządzeń przemysłowych, statków i samolotów"
1610,"Produkcja wyrobów tartacznych"
2030,"Produkcja farb, lakierów i podobnych powłok, farb drukarskich i mas uszczelniających"
